Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
www.sam-key.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.tmeu.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
lioncomputer.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
portal.iranbasketball.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
zanjan.ircme.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
igoonniroo.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
yadaki.land,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sadad.shaparak.ir sadad.shaparak.ir 200 0 0 9077 447,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
grandfx.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
iran-woodmart.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
6ghalam.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
delsamezoon.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
